observed_on,time_observed_at,taxon_id,taxon_name,common_name,latitude,longitude,place_guess,description,user_login
2018-11-24,2018-11-24 21:10:05,50075,Eumaeus atala,Atala,25.6541609296,-80.3655032918,"Miami-Dade County, US-FL, US",Larvae on coontie,davidjamesknight
2018-11-20,2018-11-20 15:44:52,50075,Eumaeus atala,Atala,25.7806367994,-80.4286708156,"Miami-Dade County, US-FL, US",Aberrant pattern??,noaboa
2018-09-24,2018-09-24 19:27:43,50075,Eumaeus atala,Atala,25.7988852332,-80.3330990882,"Florida, US",,lgarc356
2018-11-17,2018-11-17 13:30:16,50075,Eumaeus atala,Atala,25.7427581006,-80.3618233993,"Florida, US",,stevenland
2018-11-13,2018-11-13 21:12:34,50075,Eumaeus atala,Atala,25.6339469226,-80.3444394585,"Florida, US",,sudaven
2018-11-02,2018-11-02 22:25:00,50075,Eumaeus atala,Atala,25.7681502015,-80.2620872975,"Florida, US",,lisnel
2018-09-30,2018-09-30 19:28:20,50075,Eumaeus atala,Atala,25.6475708254,-80.2566563473,"Miami-Dade County, US-FL, US",Observed atala larvae on these coontie before they entered this stage of metamorphosis.,davidjamesknight
2007-09-29,,50075,Eumaeus atala,Atala,25.7938791209,-80.2117874835,"Florida, US",,rogerritt
2016-06-27,2016-06-27 13:10:04,50075,Eumaeus atala,Atala,25.7797720208,-80.4048963605,"Miami-Dade County, US-FL, US","Miami-Dade Co., FL",stevecollins
2018-10-16,2018-10-16 21:21:30,50075,Eumaeus atala,Atala,25.6619742913,-80.2083544872,"Florida, US",,lowellnoel
2018-10-13,2018-10-13 20:30:10,50075,Eumaeus atala,Atala,25.8106571285,-80.1598855435,United States,Larvae and adults,adamold
2018-10-11,2018-10-11 14:34:07,50075,Eumaeus atala,Atala,25.7477010781,-80.3119330121,"Florida, US",,bensager
2018-10-09,2018-10-09 18:29:01,50075,Eumaeus atala,Atala,25.726845825,-80.2430971101,"Florida, US",,bmasdeu
2018-09-29,2018-09-29 22:02:24,50075,Eumaeus atala,Atala,25.6643776077,-80.2851079348,United States,,rofe
2018-09-26,2018-09-26 20:29:18,50075,Eumaeus atala,Atala,25.6586825994,-80.3865829325,"Florida, US",,lowellnoel
2014-06-04,2014-06-04 15:57:01,50075,Eumaeus atala,Atala,25.7962756995,-80.2374239554,"Florida, US",,alyssacritters
2018-09-13,2018-09-13 16:47:08,50075,Eumaeus atala,Atala,25.6071386269,-80.2502111369,"Florida, US",2 caterpillars on one coontie,steph_thecnidarian
2018-09-11,2018-09-11 20:07:16,50075,Eumaeus atala,Atala,25.7309582985,-80.284340276,"Miami-Dade County, US-FL, US",,alexlamoreaux
2018-09-11,2018-09-11 19:56:40,50075,Eumaeus atala,Atala,25.6543763478,-80.3721231215,"Miami-Dade County, US-FL, US",,alexlamoreaux
2018-09-08,,50075,Eumaeus atala,Atala,25.6713505614,-80.2377591277,"Florida, US",,bmasdeu
2018-08-20,2018-08-20 21:06:48,50075,Eumaeus atala,Atala,25.7796384368,-80.2309977236,"Miami-Dade County, US-FL, US",,tinbus
2018-07-30,2018-07-30 19:58:59,50075,Eumaeus atala,Atala,25.789993321,-80.2301520318,"Florida, US",Happy Birthday to these two little guys who hatched this afternoon in my backyard!,alexiszee
2018-07-20,2018-07-20 22:10:07,50075,Eumaeus atala,Atala,25.7113215095,-80.3415913387,"Florida, US",,alexiszee
2018-07-06,2018-07-06 18:00:06,50075,Eumaeus atala,Atala,25.6584394397,-80.2282220078,"Florida, US",I found the eggs the Atala caterpillars hatched from,alexiszee
2018-07-01,2018-07-01 21:23:12,50075,Eumaeus atala,Atala,25.7760205135,-80.2954687552,"Florida, US",,alexiszee
2018-05-17,2018-05-17 14:37:00,50075,Eumaeus atala,Atala,25.7175257936,-80.3645156636,"Florida, US",,mangum
